Tabela 9884 - População residente em favelas e comunidades urbanas, por cor ou raça, sexo e grupos de idade, segundo as Favelas e Comunidades Urbanas;;
Variável - População residente em favelas e comunidades urbanas (Pessoas);;
Brasil e Unidade da Federação;Grupo de idade;Ano x Cor ou raça x Sexo
Brasil e Unidade da Federação;Grupo de idade;2022
Brasil e Unidade da Federação;Grupo de idade;Total
Brasil e Unidade da Federação;Grupo de idade;Total
Brasil;Total;16390790
Rondônia;Total;83292
Acre;Total;68736
Amazonas;Total;1368098
Roraima;Total;16009
Pará;Total;1523519
Amapá;Total;179263
Tocantins;Total;42321
Maranhão;Total;503753
Piauí;Total;199044
Ceará;Total;749637
Rio Grande do Norte;Total;175241
Paraíba;Total;210631
Pernambuco;Total;1091165
Alagoas;Total;177889
Sergipe;Total;160943
Bahia;Total;1370202
Minas Gerais;Total;739932
Espírito Santo;Total;598377
Rio de Janeiro;Total;2142394
São Paulo;Total;3630601
Paraná;Total;442119
Santa Catarina;Total;109234
Rio Grande do Sul;Total;416534
Mato Grosso do Sul;Total;16678
Mato Grosso;Total;81895
Goiás;Total;94514
Distrito Federal;Total;198769
Fonte: IBGE - Censo Demográfico;;
